,battery_power,bluetooth,clock_speed,dual_sim,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_range
0,842,no,2.2,no,1,no,7,0.6,188,2,2,20.0,756,2549,9,7.0,19,no,no,yes,medium_cost
1,1021,yes,0.5,yes,0,yes,53,0.7,136,3,6,905.0,1988,2631,17,3.0,7,yes,yes,no,high_cost
2,563,yes,0.5,yes,2,yes,41,0.9,145,5,6,1263.0,1716,2603,11,2.0,9,yes,yes,no,high_cost
3,615,yes,2.5,no,0,no,10,0.8,131,6,9,1216.0,1786,2769,16,8.0,11,yes,no,no,high_cost
4,1821,yes,1.2,no,13,yes,44,0.6,141,2,14,1208.0,1212,1411,8,2.0,15,yes,yes,no,medium_cost
5,1859,no,0.5,yes,3,no,22,0.7,164,1,7,1004.0,1654,1067,17,1.0,10,yes,no,no,medium_cost
6,1821,no,1.7,no,4,yes,10,0.8,139,8,10,381.0,1018,3220,13,8.0,18,yes,no,yes,very_high_cost
7,1954,no,0.5,yes,0,no,24,0.8,187,4,0,512.0,1149,700,16,3.0,5,yes,yes,yes,low_cost
8,1445,yes,0.5,no,0,no,53,0.7,174,7,14,386.0,836,1099,17,1.0,20,yes,no,no,low_cost
9,509,yes,0.6,yes,2,yes,9,0.1,93,5,15,1137.0,1224,513,19,10.0,12,yes,no,no,low_cost
10,769,yes,2.9,yes,0,no,9,0.1,182,5,1,248.0,874,3946,5,2.0,7,no,no,no,very_high_cost
11,1520,yes,2.2,no,5,yes,33,0.5,177,8,18,151.0,1005,3826,14,9.0,13,yes,yes,yes,very_high_cost
12,1815,no,2.8,no,2,no,33,0.6,159,4,17,607.0,748,1482,18,5.616666666666666,2,yes,no,no,medium_cost
13,803,yes,2.1,no,7,no,17,1.0,198,4,11,344.0,1440,2680,7,1.0,4,yes,no,yes,high_cost
14,1866,no,0.5,no,13,yes,52,0.7,185,1,17,356.0,563,373,14,9.0,3,yes,no,yes,low_cost
15,775,no,1.0,no,3,no,46,0.7,159,2,16,862.0,1864,568,17,15.0,11,yes,yes,yes,low_cost
16,838,no,0.5,no,1,yes,13,0.1,196,8,4,984.0,1850,3554,10,9.0,19,yes,no,yes,very_high_cost
17,595,no,0.9,yes,7,yes,23,0.1,121,3,17,441.0,810,3752,10,2.0,18,yes,yes,no,very_high_cost
18,1131,yes,0.5,yes,11,no,49,0.6,101,5,18,658.0,878,1835,19,13.0,16,yes,yes,no,medium_cost
19,682,yes,0.5,no,4,no,19,1.0,121,4,11,902.0,1064,2337,11,1.0,18,no,yes,yes,medium_cost
20,772,no,1.1,yes,12,no,39,0.8,81,7,14,1314.0,1854,2819,17,15.0,3,yes,yes,no,very_high_cost
21,1709,yes,2.1,no,1,no,13,1.0,156,2,2,974.0,1385,3283,17,1.0,15,yes,no,no,very_high_cost
22,1949,no,2.6,yes,4,no,47,0.3,199,4,7,407.0,822,1433,11,5.0,20,no,no,yes,medium_cost
23,1602,yes,2.8,yes,4,yes,38,0.7,114,3,20,466.0,788,1037,8,7.0,20,yes,no,no,low_cost
24,503,no,1.2,yes,5,yes,8,0.4,111,3,13,201.0,1245,2583,11,5.616666666666666,12,yes,no,no,medium_cost
25,961,yes,1.4,yes,0,yes,57,0.6,114,8,3,291.0,1434,2782,18,9.0,7,yes,yes,yes,high_cost
26,519,yes,1.6,yes,7,yes,51,0.3,132,4,19,550.0,645,3763,16,1.0,4,yes,no,yes,very_high_cost
27,956,no,0.5,no,1,yes,41,1.0,143,7,6,511.0,1075,3286,17,8.0,12,yes,yes,no,very_high_cost
28,1453,no,1.6,yes,12,yes,52,0.3,96,2,18,187.0,1311,2373,10,1.0,10,yes,yes,yes,high_cost
29,851,no,0.5,no,3,no,21,0.4,200,5,7,1171.0,1263,478,12,7.0,10,yes,no,yes,low_cost
30,1579,yes,0.5,yes,0,no,5,0.2,88,7,9,1358.0,1739,3532,17,11.0,12,no,no,yes,very_high_cost
31,1568,yes,0.5,no,16,no,33,1.0,150,8,20,413.0,654,508,5,1.0,6,yes,yes,yes,low_cost
32,1319,yes,0.9,no,3,yes,41,0.9,107,1,18,85.0,1152,2227,18,5.0,3,yes,yes,yes,medium_cost
33,1310,yes,2.2,yes,0,yes,51,0.6,100,4,0,178.0,1919,3845,7,5.616666666666666,12,yes,yes,no,very_high_cost
34,644,yes,2.7,no,0,no,22,0.7,157,8,3,311.0,881,1262,12,1.0,15,yes,no,no,low_cost
35,725,no,1.3,yes,16,no,60,0.4,160,8,17,1134.0,1249,1326,10,4.0,15,yes,no,no,medium_cost
36,589,yes,2.3,yes,1,no,61,0.6,160,4,10,429.0,815,2113,13,7.0,2,yes,no,yes,medium_cost
37,1725,yes,1.6,yes,6,yes,6,0.5,119,2,18,609.0,1307,3429,6,5.0,4,yes,yes,no,very_high_cost
38,790,no,2.0,yes,16,yes,11,0.3,87,6,17,347.0,730,3169,6,1.0,2,yes,no,yes,high_cost
39,560,no,0.5,yes,15,no,50,0.3,159,2,20,1448.0,1613,2150,18,12.0,11,yes,yes,no,high_cost
40,1347,no,2.9,no,5,no,44,0.6,132,1,14,434.0,967,2484,18,2.0,11,yes,no,yes,high_cost
41,1646,yes,2.3,no,8,yes,41,0.2,185,2,10,1725.0,1932,3339,18,10.0,19,yes,yes,no,very_high_cost
42,1253,yes,0.5,yes,5,yes,5,0.2,152,2,19,685.0,714,1878,15,5.616666666666666,4,yes,yes,no,medium_cost
43,1656,no,1.0,no,5,yes,34,0.1,166,3,7,880.0,1456,1629,15,12.0,14,yes,yes,no,medium_cost
44,1195,yes,2.8,no,1,yes,20,0.8,110,2,14,1580.0,1652,504,9,3.0,12,yes,yes,no,low_cost
45,1514,no,2.9,no,0,no,27,0.2,118,3,1,186.0,1810,1152,8,3.0,20,no,yes,yes,medium_cost
46,1723,yes,1.1,yes,1,no,42,1.0,164,8,14,202.0,1791,3587,10,5.0,3,yes,no,no,very_high_cost
47,1054,yes,1.8,yes,3,yes,40,0.8,196,7,10,27.0,774,2296,16,12.0,12,yes,no,yes,medium_cost
48,578,yes,2.6,yes,2,yes,57,0.2,162,8,8,1025.0,1433,1270,15,3.0,5,yes,no,yes,low_cost
49,596,no,2.1,yes,9,no,64,0.8,111,8,15,885.0,1854,3238,16,13.0,10,no,no,no,very_high_cost
50,1547,yes,3.0,yes,2,yes,14,0.7,198,3,19,1042.0,1832,2059,5,5.616666666666666,15,yes,no,yes,high_cost
51,1760,no,1.4,yes,5,no,63,0.8,127,8,19,1382.0,1383,2053,19,12.0,16,no,yes,no,high_cost
52,1654,yes,1.5,yes,0,yes,43,0.3,109,2,0,546.0,629,3112,12,5.0,10,yes,yes,no,very_high_cost
53,1457,no,1.9,yes,1,yes,16,0.3,102,3,10,1013.0,1287,1440,17,8.0,12,yes,no,yes,medium_cost
54,1073,yes,0.5,yes,0,no,51,0.5,145,7,0,690.0,804,2908,6,5.616666666666666,18,no,yes,no,high_cost
55,1936,no,2.1,yes,10,yes,46,0.6,104,3,20,667.0,1036,2552,14,7.0,13,yes,no,no,high_cost
56,823,yes,2.7,yes,13,no,60,0.5,148,8,19,822.0,1449,905,14,11.0,17,yes,yes,yes,low_cost
57,987,no,1.3,yes,0,yes,61,0.4,107,3,9,581.0,820,3963,9,4.0,20,yes,no,yes,very_high_cost
58,1757,no,0.5,no,8,no,49,0.5,180,6,14,265.0,713,2056,7,5.0,4,no,no,no,medium_cost
59,1063,no,1.4,yes,2,yes,48,1.0,128,5,4,127.0,683,2910,15,13.0,9,yes,yes,yes,high_cost
60,1484,no,3.0,no,3,no,12,0.6,134,3,5,916.0,969,1457,14,4.0,20,yes,yes,no,medium_cost
61,799,yes,2.3,no,1,yes,63,0.8,144,8,6,361.0,975,431,15,6.0,6,yes,yes,yes,low_cost
62,1156,yes,1.2,yes,0,yes,50,0.8,159,2,0,322.0,547,470,7,5.616666666666666,15,yes,yes,no,low_cost
63,1720,no,2.0,no,15,yes,55,0.5,168,2,18,753.0,1353,2148,14,2.0,5,yes,yes,yes,high_cost
64,702,no,2.6,yes,2,yes,9,0.7,141,3,3,504.0,1570,2955,10,4.0,19,yes,no,no,high_cost
65,616,no,1.9,yes,13,yes,44,0.8,81,3,17,651.0,1618,3366,18,8.0,13,yes,yes,no,very_high_cost
66,1358,yes,0.5,no,11,yes,36,0.3,155,4,14,1565.0,1858,3068,9,4.0,4,yes,yes,no,very_high_cost
67,1866,no,1.4,no,0,no,30,0.5,182,3,0,108.0,1781,3834,16,11.0,8,no,no,no,very_high_cost
68,1242,no,1.1,yes,0,no,10,0.6,165,2,1,459.0,1225,1050,11,1.0,4,yes,no,yes,low_cost
69,1166,no,1.5,yes,0,yes,43,0.8,80,4,1,205.0,603,3993,7,1.0,7,yes,yes,no,very_high_cost
70,1448,yes,0.5,yes,6,yes,45,0.8,138,7,11,570.0,1724,3378,13,11.0,2,yes,yes,yes,very_high_cost
71,1407,yes,2.4,no,1,yes,22,0.7,104,4,4,1172.0,1217,2192,9,7.0,13,yes,no,yes,high_cost
72,605,no,1.0,no,8,yes,9,0.1,142,3,16,160.0,1026,392,15,6.0,4,yes,no,no,low_cost
73,1038,no,1.2,no,3,no,43,0.7,141,1,5,4.0,638,3709,11,5.616666666666666,12,yes,yes,yes,very_high_cost
74,797,yes,2.9,yes,4,no,38,0.5,90,4,6,763.0,1413,590,9,2.0,6,no,yes,no,low_cost
75,819,no,0.6,yes,8,yes,42,0.9,188,6,20,339.0,1242,1814,5,4.0,13,yes,no,yes,medium_cost
76,1114,no,2.8,no,4,yes,9,0.4,197,3,15,1040.0,1071,907,10,7.0,17,yes,yes,no,low_cost
77,1234,yes,1.6,yes,1,no,33,0.6,172,1,3,166.0,778,1449,11,7.0,6,no,no,yes,low_cost
78,1199,yes,2.5,yes,15,yes,16,0.2,116,4,20,1168.0,1552,3448,17,13.0,10,yes,no,yes,very_high_cost
79,1103,no,1.0,yes,6,no,29,0.7,111,6,8,990.0,1486,1837,8,7.0,16,no,yes,yes,medium_cost
80,1589,yes,0.6,yes,0,yes,58,0.9,85,7,7,319.0,1206,3464,19,10.0,6,yes,yes,yes,very_high_cost
81,999,no,2.9,yes,11,yes,64,0.2,199,4,19,1397.0,1616,2593,14,11.0,16,yes,yes,no,high_cost
82,1510,yes,0.9,yes,2,no,45,0.9,180,5,3,708.0,1752,3484,9,6.0,11,no,yes,yes,very_high_cost
83,1008,no,0.8,no,11,no,61,1.0,114,3,15,1077.0,1122,2009,10,3.0,11,yes,no,no,medium_cost
84,1127,yes,2.9,yes,5,yes,57,0.8,163,1,13,928.0,1049,2048,11,5.0,17,yes,yes,yes,medium_cost
85,1412,yes,2.4,no,5,no,25,0.8,96,8,17,516.0,1894,837,15,9.0,4,no,no,yes,medium_cost
86,1496,yes,2.0,yes,4,no,42,0.5,182,5,5,96.0,741,854,16,5.616666666666666,7,no,yes,yes,low_cost
87,1083,yes,2.9,yes,1,yes,64,0.8,178,3,11,1025.0,1118,3210,13,3.0,4,yes,no,no,very_high_cost
88,668,no,0.5,yes,0,no,3,0.1,155,5,13,666.0,1203,2746,9,5.0,8,yes,yes,yes,high_cost
89,1309,no,1.1,yes,0,no,33,0.5,100,4,14,557.0,1402,2334,10,1.0,11,yes,no,yes,high_cost
90,1724,no,2.0,yes,2,yes,57,0.5,177,3,5,1605.0,1924,2822,19,3.0,16,yes,yes,no,very_high_cost
91,1977,yes,2.0,yes,7,yes,54,1.0,171,7,18,1226.0,1242,1971,18,7.0,14,yes,yes,no,high_cost
92,885,no,2.3,yes,0,yes,15,0.4,103,7,0,769.0,802,1410,16,10.0,5,yes,yes,yes,low_cost
93,879,yes,2.5,no,11,yes,14,0.7,83,6,15,403.0,1105,349,16,10.0,2,yes,no,yes,low_cost
94,1322,no,1.7,yes,6,no,7,0.8,140,3,9,177.0,1990,1418,19,17.0,12,no,yes,no,medium_cost
95,1137,yes,1.0,no,18,no,7,1.0,196,3,19,942.0,1179,3616,13,5.0,12,yes,yes,yes,very_high_cost
96,1355,no,2.3,no,10,yes,23,0.2,132,5,16,651.0,891,880,19,4.0,8,yes,yes,no,low_cost
97,1665,yes,0.5,no,3,yes,60,0.2,194,6,18,1572.0,1684,1601,18,17.0,14,yes,no,no,high_cost
98,657,no,2.5,no,0,no,37,0.7,141,2,1,476.0,961,1412,14,3.0,18,no,yes,no,low_cost
99,593,no,0.5,no,6,no,31,0.4,156,7,7,1233.0,1317,1692,6,2.0,7,yes,no,no,medium_cost
100,1883,yes,0.5,no,3,yes,10,0.3,146,6,13,836.0,1739,2600,16,8.0,20,yes,no,no,very_high_cost
101,1732,yes,1.1,no,4,yes,12,0.8,119,8,9,824.0,881,1308,16,7.0,11,yes,no,yes,medium_cost
102,543,no,0.5,no,0,no,57,0.7,192,5,4,391.0,984,2413,17,14.0,15,yes,no,no,medium_cost
103,1939,yes,2.8,yes,0,yes,55,0.6,199,4,10,320.0,520,1047,14,10.0,18,yes,yes,no,low_cost
